zs	delta	ys	ds1hg	os2hg	zs	alphax	gamma	hu36energy	xs	thetah	ds2hg	ss1hg	current	mon2	dioderefl	mon4	gainfemtodioderefl	integration_time	sensors_rel_timestamps	sensorsTimestamps	i15-c-cx1/ex/v2_grp_zs.pos/pos	
-66.59099395	0.00049092	1.6002200075	2.0	1.9985	-66.59099395	0.0	0.0001525429973	6.98273741544	0.0	0.372652542373	2.0	2.0	450.306737889	30.2188681641	0.00246083374023	0.120872050781	100000.0	0.1	31.259957	1512571148.1	-66.591309	
-66.570792435	0.00049092	1.6002200075	2.0	1.9985	-66.570792435	0.0	0.0001525429973	6.98273741544	0.0	0.372652542373	2.0	2.0	450.297626294	30.2233563232	0.00213154907227	0.121019875488	100000.0	0.1	32.122157	1512571148.96	-66.571309	
-66.55099095	0.00049092	1.6002200075	2.0	1.9985	-66.55099095	0.0	-7.62714986e-05	6.98273741544	0.0	0.372652542373	2.0	2.0	450.287749618	30.2203200684	0.00212046508789	0.120876357422	100000.0	0.1	32.865443	1512571149.7	-66.551309	
-66.53098945	0.00049092	1.6002200075	2.0	1.9985	-66.53098945	0.0	-0.0001525429973	6.98269598254	0.0	0.372652542373	2.0	2.0	450.277297013	30.2166279907	0.00209769897461	0.120844388428	100000.0	0.1	33.771163	1512571150.61	-66.531309	
-66.5108879425	0.00049092	1.6002200075	2.0	1.9985	-66.5108879425	0.0	0.0003050859946	6.98269598254	0.0	0.372652542373	2.0	2.0	450.277297013	30.2192058105	0.00209519042969	0.120861466675	100000.0	0.1	34.408213	1512571151.25	-66.511309	
-66.49098645	0.00049092	1.6002200075	2.0	1.9985	-66.49098645	0.0	0.0002288144959	6.98269598254	0.0	0.372652542373	2.0	2.0	450.266872626	30.2221751099	0.00210288696289	0.120985535889	100000.0	0.1	35.150093	1512571151.99	-66.491309	
-66.470784935	0.00049092	1.6002200075	2.0	1.9985	-66.470784935	0.0	0.0004576289919	6.98269598254	0.0	0.372652542373	2.0	2.0	450.266872626	30.2140986938	0.00212894287109	0.120878361206	100000.0	0.1	35.943681	1512571152.78	-66.471309	
-66.4510834575	0.00049092	1.6002200075	2.0	1.9985	-66.4510834575	0.0	0.0009152579837	6.98273741544	0.0	0.372652542373	2.0	2.0	450.25726594	30.2178061523	0.00212899780273	0.120942159424	100000.0	0.1	36.680698	1512571153.52	-66.451309	
-66.4308819425	0.00049092	1.6002200075	2.0	1.9985	-66.4308819425	0.0	0.0001525429973	6.98269598254	0.0	0.372652542373	2.0	2.0	450.23825597	30.2139434814	0.00212620239258	0.120830678711	100000.0	0.1	37.469194	1512571154.31	-66.431309	
-66.4108804425	0.00049092	1.6002200075	2.0	1.9985	-66.4108804425	0.0	0.0001525429973	6.98273741544	0.0	0.372652542373	2.0	2.0	450.23825597	30.2184954224	0.00209205932617	0.120942544556	100000.0	0.1	38.206443	1512571155.05	-66.411309	
-66.39097895	0.00049092	1.6002200075	2.0	1.9985	-66.39097895	0.0	-0.0003050859946	6.98273741544	0.0	0.372652542373	2.0	2.0	450.227488857	30.2144976807	0.00212026367187	0.12081847229	100000.0	0.1	38.999869	1512571155.84	-66.391309	
-66.370777435	0.00049092	1.6002200075	2.0	1.9985	-66.370777435	0.0	-0.0002288144959	6.98269598254	0.0	0.372652542373	2.0	2.0	450.227488857	30.21815802	0.0021119934082	0.120975708618	100000.0	0.1	39.74938	1512571156.59	-66.371309	
-66.3510759575	0.00049092	1.6002200075	2.0	1.9985	-66.3510759575	0.0	0.0003050859946	6.98273741544	0.0	0.372652542373	2.0	2.0	450.21740878	30.220364624	0.0021228515625	0.121024505005	100000.0	0.1	40.775576	1512571157.61	-66.351309	
-66.33097445	0.00049092	1.6002200075	2.0	1.9985	-66.33097445	0.0	0.0004576289919	6.98269598254	0.0	0.372652542373	2.0	2.0	450.21740878	30.2154432983	0.00212144775391	0.120947528687	100000.0	0.1	41.56199	1512571158.4	-66.331309	
-66.3108729425	0.00049092	1.6002200075	2.0	1.9985	-66.3108729425	0.0	0.0009915294824	6.98273741544	0.0	0.372652542373	2.0	2.0	450.208155159	30.2129526978	0.00213842773438	0.120799124146	100000.0	0.1	42.328633	1512571159.17	-66.311309	
-66.29097145	0.00049092	1.6002200075	2.0	1.9985	-66.29097145	0.0	7.62714987e-05	6.98273741544	0.0	0.372652542373	2.0	2.0	450.208155159	30.2149668579	0.00211971435547	0.120930228271	100000.0	0.1	43.065034	1512571159.9	-66.291309	
