gamma	delta	ys	ds1hg	os2hg	zs	alphax	gamma	hu36energy	xs	thetah	ds2hg	ss1hg	current	mon2	dioderefl	mon4	gainfemtodioderefl	integration_time	sensors_rel_timestamps	sensorsTimestamps	i15-c-cx1/ex/v2_grp_gamma.rot/rot	
0.0405001657805	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0405001657805	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.683412679	30.2438529663	0.00562055664062	2.0	100000.0	0.1	62.629977	1512551103.33	0.0402288144959	
0.050491732103	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.050491732103	6.98277884848	1.5262144575	-0.917025423729	2.0	2.0	451.638570242	30.239196167	0.00216916503906	2.0	100000.0	0.1	64.730164	1512551105.43	0.0502288144959	
0.0605595699241	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0605595699241	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.629852876	30.2410527344	0.000406091308594	2.0	100000.0	0.1	66.727717	1512551107.43	0.0602288144959	
0.070474864748	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.070474864748	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.609631348	30.2398240967	-0.000400512695313	2.0	100000.0	0.1	68.7356	1512551109.44	0.0702288144959	
0.0805427025691	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.0805427025691	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.589259785	30.23490979	-0.000644659423828	2.0	100000.0	0.1	70.943633	1512551111.64	0.0802288144959	
0.090457997393	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.090457997393	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.580502186	30.2320141602	-0.000776495361328	2.0	100000.0	0.1	72.798007	1512551113.5	0.0902288144959	
0.100525835214	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.100525835214	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.569822337	30.231567749	-0.000940466308594	2.0	100000.0	0.1	74.844446	1512551115.54	0.100228814496	
0.110441130038	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.110441130038	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	451.530525088	30.2280206299	-0.000959643554687	2.0	100000.0	0.1	76.838644	1512551117.54	0.110228814496	
0.120432696361	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.120432696361	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.510369778	30.2286448364	-0.00100015869141	2.0	100000.0	0.1	78.724725	1512551119.42	0.120228814496	
0.130424262683	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.130424262683	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	451.500004064	30.226701355	-0.00102774658203	2.0	100000.0	0.1	80.687887	1512551121.39	0.130228814496	
0.140492100504	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.140492100504	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.470205281	30.2235723267	-0.000960845947266	2.0	100000.0	0.1	83.010137	1512551123.71	0.140228814496	
0.150483666827	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.150483666827	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.459733676	30.2206400146	-0.00106615600586	2.0	100000.0	0.1	85.001132	1512551125.7	0.150228814496	
0.160475233149	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.160475233149	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	451.449625567	30.2204456787	-0.00105050048828	2.0	100000.0	0.1	87.057202	1512551127.76	0.160228814496	
0.170466799472	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.170466799472	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.42027773	30.2190317383	-0.00104975585938	2.0	100000.0	0.1	89.055758	1512551129.76	0.170228814496	
0.180458365794	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.180458365794	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.400741749	30.2309110107	-0.00102268676758	2.0	100000.0	0.1	91.105703	1512551131.81	0.180228814496	
0.190449932117	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.190449932117	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.606386062	30.2351850586	-0.0010150390625	2.0	100000.0	0.1	93.263639	1512551133.96	0.190228814496	
0.200517769938	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.200517769938	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.585817989	30.2338270264	-0.00103939208984	2.0	100000.0	0.1	95.158692	1512551135.86	0.200228814496	
0.210433064762	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.210433064762	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	451.564776991	30.2279007568	-0.00105927734375	2.0	100000.0	0.1	97.155976	1512551137.86	0.210228814496	
0.220500902583	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.220500902583	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.536771096	30.2244815674	-0.00103453979492	2.0	100000.0	0.1	99.206917	1512551139.91	0.220228814496	
0.230492468905	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.230492468905	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.52628934	30.2259014282	-0.00101282348633	2.0	100000.0	0.1	101.260343	1512551141.96	0.230228814496	
0.240484035228	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.240484035228	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.505765319	30.2276917114	-0.0010296081543	2.0	100000.0	0.1	103.257006	1512551143.96	0.240228814496	
0.25047560155	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	0.25047560155	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	451.494890265	30.2237331543	-0.00107005004883	2.0	100000.0	0.1	105.319656	1512551146.02	0.250228814496	
